"","Quantiseq_B.cells","Quantiseq_Macrophages.M1","Quantiseq_Macrophages.M2","Quantiseq_Monocytes","Quantiseq_Neutrophils","Quantiseq_NK.cells","Quantiseq_T.cells.non.regulatory","Quantiseq_CD8.cells","Quantiseq_T.cells.regulatory","Quantiseq_Dendritic.cells","Quantiseq_uncharacterized_cell"
"SAMa1871f491b02",0.0146001011069495,0,0.0135175328650262,0,0.190363153376747,0.00826023335960888,0,0,0.00234936426183767,0,0.770909615029831
"SAMd135d5867fe3",0.0215062288797816,0.0388317951289045,0.0734391643648765,0,0.0986647897904637,0.0151349361438371,0,0.000335021681793298,0.0334051256696365,0,0.718682938340707
"SAM065890737112",0.0237550160595506,0,0.0401028532361945,0,0.125126283928875,0.0100349324987541,0,0.00161071755390528,0.0131302135232148,0,0.786239983199506
"SAMb470eb8f04be",0.0335971422814064,9.83261066345246e-05,0.0486053072308695,0,0.0606345340360924,0.0132016057217123,0,0.00164267602849191,0.0212178230176366,0,0.821002585577156
"SAM675a12a09c15",0.019609683889298,0.00191969141969668,0.0340274509893843,0,0.0840634019321025,0.0142548592615888,0.0201316648676016,0,0.00364827974558233,0,0.822344967894746
"SAM1e9c4d1d39ae",0.0394661579271205,0.0213301231375642,0.0530327743708116,0,0.112545883630992,0.01660370667961,0,0.000983140584925787,0.0146176569495639,0.0051434317644233,0.736277124954988
"SAM4b7ea015fd9e",0.016706795101359,0,0.0133027693879565,0,0.0867658181911994,0.00555654718984245,0,0,0.00950399895463176,0,0.868164071175011
"SAM9306c5c92444",0.0193952164436497,0.00530495856601554,0.0265804504036831,0,0.178838327455377,0.00902920766446207,0,0.00216255496704757,0.0104672294363307,0,0.748222055063435
"SAMd86389d0d768",0.026520127961639,0,0.0352140756589026,0,0.109718716697292,0.00759529154603794,0,0,0.00392193066118881,0,0.81702985747494
"SAM63b2189c36d7",0.0283851646199744,0,0.0351028846716288,0,0.114713686577621,0.00999176415002598,0.00503909859694245,0,0.00352967755074571,0,0.803237723833062
"SAM18be5b395318",0.0250708784323737,0,0.0362275752298861,0,0.107280983739686,0.00537922317523238,0,0.00176516860909332,0.0153086279941828,0,0.808967542819546
"SAM0d855cff64e6",0.0148741521054588,0.00407537951652004,0.0085464499101487,0.0192380239587785,0.0665339118961367,0.0107322636509512,0,0,0.00479709264496208,0,0.871202726317044
"SAM6cbc10abddb0",0.0220198141163028,0.0101197148819069,0.0324740413710153,0,0.0600912874027287,0.0096261408724949,0,0.00858506350159939,0.0155236737160587,7.88326183745687e-05,0.841481431519519
"SAMdee1011782cd",0.0475936824383867,0.00373030019890426,0.041718705526675,0,0.231185150301011,0.0124152200843962,0,0.0067837092086863,0.0176499256558468,0,0.638923306586093
"SAM203dcf14f927",0.0419994902028395,0.0262532281668348,0.0390941620604501,0,0.119701506822923,0.0229389193589308,0,0.0199785603155695,0.0317112205492879,0,0.698322912523165
"SAMe41b1e773582",0.0177401323066217,0.00271336503965078,0.0212655600703135,0,0.0568201563305496,0.0088544664343386,0,0.00353428814257423,0.0114094605298467,0,0.877662571146105
"SAM978a587b207e",0.0180374274204336,0.0132155281788125,0.0306854364370712,0,0.141042385153299,0.0132132763061829,0,0.00320079362479646,0.00869098601365091,0,0.771914166865754
"SAM5234688806a7",0.0134846336947142,0,0.0155724602222705,0,0.141204575957919,0.0067386038470867,0,0,0.00524939196050463,0,0.817750334317505
"SAM2c9586161ce6",0.0116477620108965,0,0.0294717522241887,0,0.148990336760182,0.00549714597990366,0,0,0.00630184385080069,0,0.798091159174029
"SAM76a431ba6ce1",0.0315888850869006,0.00924586195143346,0.0437131595716909,0,0.161095959431085,0.0101097553829326,0,0.000933501105545328,0.0144669089593449,0,0.728845968511067
"SAMd3bd67996035",0.0929379935843887,0.0111041850642621,0.0447693847376104,0,0.120173258300903,0.0159158374239184,0.0337550101946661,0.0114720503499645,0.0330100270648139,0,0.636862253279473
